filename,hamming_distance,cosine_similarity,combined_score,preproc_time_db,feat_ext_time_db,hash_time_db
1026.jpg,27,0.65887487,13.822502,0.0019078254699707031,0.010322093963623047,0.0045604705810546875
1027.jpg,30,0.69780576,16.043884,0.0018045902252197266,0.00883936882019043,0.003457784652709961
1028.jpg,41,0.56948066,29.610386,0.0017344951629638672,0.008611202239990234,0.004352092742919922
1029.jpg,36,0.5194844,25.610312,0.0018787384033203125,0.013611316680908203,0.004098653793334961
103.jpg,25,0.53039134,14.392174,0.0019290447235107422,0.011088371276855469,0.00397801399230957
1030.jpg,31,0.6021447,18.957106,0.0017654895782470703,0.010557889938354492,0.004060983657836914
1031.jpg,37,0.5489129,26.021742,0.0018908977508544922,0.008187055587768555,0.0034732818603515625
1032.jpg,28,0.48357192,18.328562,0.0018429756164550781,0.008599281311035156,0.0042057037353515625
1033.jpg,30,0.57612956,18.47741,0.002187013626098633,0.009637117385864258,0.0045318603515625
1034.jpg,28,0.5095054,17.809893,0.002051830291748047,0.009014129638671875,0.0032396316528320312
1035.jpg,26,0.5821602,14.356796,0.001918792724609375,0.00801849365234375,0.0031270980834960938
1036.jpg,23,0.674476,9.510479,0.029564619064331055,0.014944791793823242,0.003228902816772461
1037.jpg,32,0.65674984,18.865004,0.0019192695617675781,0.010324954986572266,0.0032029151916503906
1038.jpg,27,0.5846675,15.30665,0.0018603801727294922,0.00809025764465332,0.003335714340209961
1039.jpg,36,0.56854147,24.62917,0.0018742084503173828,0.008020162582397461,0.0035691261291503906
104.jpg,35,0.54103506,24.179298,0.0018701553344726562,0.013764142990112305,0.004079580307006836
1040.jpg,37,0.65555143,23.888971,0.0021555423736572266,0.008455038070678711,0.004034996032714844
1041.jpg,27,0.5819963,15.360073,0.001873016357421875,0.0077855587005615234,0.003290891647338867
1042.jpg,33,0.58206147,21.35877,0.0017969608306884766,0.007833003997802734,0.003070354461669922
1043.jpg,38,0.5734854,26.530293,0.001773834228515625,0.00870966911315918,0.0030663013458251953
1044.jpg,35,0.62232876,22.553425,0.0017099380493164062,0.007975339889526367,0.003127574920654297
1045.jpg,23,0.60069543,10.986092,0.0018842220306396484,0.010120630264282227,0.0040378570556640625
1046.jpg,38,0.617486,25.65028,0.0022406578063964844,0.010758161544799805,0.003644704818725586
1047.jpg,23,0.69394207,9.121159,0.02104353904724121,0.011135578155517578,0.004168033599853516
1048.jpg,32,0.61402225,19.719555,0.0017499923706054688,0.009604930877685547,0.003604412078857422
1049.jpg,32,0.652974,18.94052,0.0016710758209228516,0.008893013000488281,0.0037360191345214844
105.jpg,24,0.55932677,12.813465,0.030007123947143555,0.010781526565551758,0.003575563430786133
1050.jpg,33,0.5532632,21.934736,0.0020017623901367188,0.011607170104980469,0.004533052444458008
1051.jpg,29,0.5926819,17.146362,0.0018944740295410156,0.00964808464050293,0.005218029022216797
1052.jpg,24,0.5971777,12.056446,0.0018787384033203125,0.010464191436767578,0.004005908966064453
1053.jpg,38,0.5713769,26.572462,0.0018384456634521484,0.011495590209960938,0.004088163375854492
1054.jpg,32,0.5944158,20.111685,0.00180816650390625,0.012006759643554688,0.004202604293823242
1055.jpg,26,0.53378725,15.324255,0.002014636993408203,0.009960651397705078,0.00563502311706543
